ds,zone,trigger_type,disruption_occurred,disruption_hours,rain_mm
2023-01-03,Perungudi,extreme_rain,0,0,0.0
2023-01-03,Perungudi,platform_outage,0,0,0.0
2023-01-03,Perungudi,bandh,0,0,0.0
2023-01-03,Perungudi,heatwave,0,0,0.0
2023-01-04,Adyar,heavy_rain,0,0,0.0
2023-01-04,Adyar,extreme_rain,0,0,0.0
2023-01-04,Adyar,platform_outage,0,0,0.0
2023-01-04,Adyar,bandh,0,0,0.0
2023-01-04,Adyar,heatwave,0,0,0.0
2023-01-04,Velachery,heavy_rain,0,0,0.0
2023-01-04,Velachery,extreme_rain,0,0,0.0
2023-01-04,Velachery,platform_outage,0,0,0.0
2023-01-04,Velachery,bandh,0,0,0.0
2023-01-04,Velachery,heatwave,0,0,0.0
2023-01-04,Tambaram,heavy_rain,0,0,0.0
2023-01-04,Tambaram,extreme_rain,0,0,0.0
2023-01-04,Tambaram,platform_outage,0,0,0.0
2023-01-04,Tambaram,bandh,0,0,0.0
2023-01-04,Tambaram,heatwave,0,0,0.0
2023-01-04,Anna Nagar,heavy_rain,0,0,0.0
2023-01-04,Anna Nagar,extreme_rain,0,0,0.0
2023-01-04,Anna Nagar,platform_outage,0,0,0.0
2023-01-04,Anna Nagar,bandh,0,0,0.0
2023-01-04,Anna Nagar,heatwave,0,0,0.0
2023-01-04,T Nagar,heavy_rain,0,0,0.0
2023-01-04,T Nagar,extreme_rain,0,0,0.0
2023-01-04,T Nagar,platform_outage,0,0,0.0
2023-01-04,T Nagar,bandh,0,0,0.0
2023-01-04,T Nagar,heatwave,0,0,0.0
2023-01-04,Perungudi,heavy_rain,0,0,0.0
2023-01-04,Perungudi,extreme_rain,0,0,0.0
2023-01-04,Perungudi,platform_outage,0,0,0.0
2023-01-04,Perungudi,bandh,0,0,0.0
2023-01-04,Perungudi,heatwave,0,0,0.0
2023-01-05,Adyar,heavy_rain,0,0,0.0
2023-01-05,Adyar,extreme_rain,0,0,0.0
2023-01-05,Adyar,platform_outage,0,0,0.0
2023-01-05,Adyar,bandh,0,0,0.0
2023-01-05,Adyar,heatwave,0,0,0.0
2023-01-05,Velachery,heavy_rain,0,0,0.0
2023-01-05,Velachery,extreme_rain,0,0,0.0
2023-01-05,Velachery,platform_outage,0,0,0.0
2023-01-05,Velachery,bandh,0,0,0.0
2023-01-05,Velachery,heatwave,0,0,0.0
2023-01-05,Tambaram,heavy_rain,0,0,0.0
2023-01-05,Tambaram,extreme_rain,0,0,0.0
2023-01-05,Tambaram,platform_outage,0,0,0.0
2023-01-05,Tambaram,bandh,0,0,0.0
2023-01-05,Tambaram,heatwave,0,0,0.0
2023-01-05,Anna Nagar,heavy_rain,0,0,0.0
2023-01-05,Anna Nagar,extreme_rain,0,0,0.0
2023-01-05,Anna Nagar,platform_outage,0,0,0.0
2023-01-05,Anna Nagar,bandh,0,0,0.0
2023-01-05,Anna Nagar,heatwave,0,0,0.0
2023-01-05,T Nagar,heavy_rain,0,0,0.0
2023-01-05,T Nagar,extreme_rain,0,0,0.0
2023-01-05,T Nagar,platform_outage,0,0,0.0
2023-01-05,T Nagar,bandh,0,0,0.0
2023-01-05,T Nagar,heatwave,0,0,0.0
2023-01-05,Perungudi,heavy_rain,0,0,0.0
2023-01-05,Perungudi,extreme_rain,0,0,0.0
2023-01-05,Perungudi,platform_outage,0,0,0.0
2023-01-05,Perungudi,bandh,0,0,0.0
2023-01-05,Perungudi,heatwave,0,0,0.0
2023-01-06,Adyar,heavy_rain,0,0,0.0
2023-01-06,Adyar,extreme_rain,0,0,0.0
2023-01-06,Adyar,platform_outage,0,0,0.0
2023-01-06,Adyar,bandh,0,0,0.0
2023-01-06,Adyar,heatwave,0,0,0.0
2023-01-06,Velachery,heavy_rain,0,0,0.0
2023-01-06,Velachery,extreme_rain,0,0,0.0
2023-01-06,Velachery,platform_outage,0,0,0.0
2023-01-06,Velachery,bandh,0,0,0.0
2023-01-06,Velachery,heatwave,0,0,0.0
2023-01-06,Tambaram,heavy_rain,0,0,0.0
2023-01-06,Tambaram,extreme_rain,0,0,0.0
2023-01-06,Tambaram,platform_outage,0,0,0.0
2023-01-06,Tambaram,bandh,0,0,0.0
2023-01-06,Tambaram,heatwave,0,0,0.0
2023-01-06,Anna Nagar,heavy_rain,0,0,0.0
2023-01-06,Anna Nagar,extreme_rain,0,0,0.0
2023-01-06,Anna Nagar,platform_outage,0,0,0.0
2023-01-06,Anna Nagar,bandh,0,0,0.0
2023-01-06,Anna Nagar,heatwave,0,0,0.0
2023-01-06,T Nagar,heavy_rain,0,0,0.0
2023-01-06,T Nagar,extreme_rain,0,0,0.0
2023-01-06,T Nagar,platform_outage,0,0,0.0
2023-01-06,T Nagar,bandh,0,0,0.0
2023-01-06,T Nagar,heatwave,0,0,0.0
2023-01-06,Perungudi,heavy_rain,0,0,0.0
2023-01-06,Perungudi,extreme_rain,0,0,0.0
2023-01-06,Perungudi,platform_outage,0,0,0.0
2023-01-06,Perungudi,bandh,0,0,0.0
2023-01-06,Perungudi,heatwave,0,0,0.0
2023-01-07,Adyar,heavy_rain,0,0,0.0
2023-01-07,Adyar,extreme_rain,0,0,0.0
2023-01-07,Adyar,platform_outage,0,0,0.0
2023-01-07,Adyar,bandh,0,0,0.0
2023-01-07,Adyar,heatwave,0,0,0.0
2023-01-07,Velachery,heavy_rain,0,0,0.0
2023-01-07,Velachery,extreme_rain,0,0,0.0
2023-01-07,Velachery,platform_outage,0,0,0.0
2023-01-07,Velachery,bandh,0,0,0.0
2023-01-07,Velachery,heatwave,0,0,0.0
2023-01-07,Tambaram,heavy_rain,0,0,0.0
2023-01-07,Tambaram,extreme_rain,0,0,0.0
2023-01-07,Tambaram,platform_outage,0,0,0.0
2023-01-07,Tambaram,bandh,0,0,0.0
2023-01-07,Tambaram,heatwave,0,0,0.0
2023-01-07,Anna Nagar,heavy_rain,0,0,0.0
2023-01-07,Anna Nagar,extreme_rain,0,0,0.0
2023-01-07,Anna Nagar,platform_outage,0,0,0.0
2023-01-07,Anna Nagar,bandh,0,0,0.0
2023-01-07,Anna Nagar,heatwave,0,0,0.0
2023-01-07,T Nagar,heavy_rain,0,0,0.0
2023-01-07,T Nagar,extreme_rain,0,0,0.0
2023-01-07,T Nagar,platform_outage,0,0,0.0
2023-01-07,T Nagar,bandh,0,0,0.0
2023-01-07,T Nagar,heatwave,0,0,0.0
2023-01-07,Perungudi,heavy_rain,0,0,0.0
2023-01-07,Perungudi,extreme_rain,0,0,0.0
2023-01-07,Perungudi,platform_outage,0,0,0.0
2023-01-07,Perungudi,bandh,0,0,0.0
2023-01-07,Perungudi,heatwave,0,0,0.0
2023-01-08,Adyar,heavy_rain,0,0,0.0
2023-01-08,Adyar,extreme_rain,0,0,0.0
2023-01-08,Adyar,platform_outage,0,0,0.0
2023-01-08,Adyar,bandh,0,0,0.0
2023-01-08,Adyar,heatwave,0,0,0.0
2023-01-08,Velachery,heavy_rain,0,0,0.0
2023-01-08,Velachery,extreme_rain,0,0,0.0
2023-01-08,Velachery,platform_outage,0,0,0.0
2023-01-08,Velachery,bandh,0,0,0.0
2023-01-08,Velachery,heatwave,0,0,0.0
2023-01-08,Tambaram,heavy_rain,0,0,0.0
2023-01-08,Tambaram,extreme_rain,0,0,0.0
2023-01-08,Tambaram,platform_outage,0,0,0.0
2023-01-08,Tambaram,bandh,0,0,0.0
2023-01-08,Tambaram,heatwave,0,0,0.0
2023-01-08,Anna Nagar,heavy_rain,0,0,0.0
2023-01-08,Anna Nagar,extreme_rain,0,0,0.0
2023-01-08,Anna Nagar,platform_outage,0,0,0.0
2023-01-08,Anna Nagar,bandh,0,0,0.0
2023-01-08,Anna Nagar,heatwave,0,0,0.0
2023-01-08,T Nagar,heavy_rain,0,0,0.0
2023-01-08,T Nagar,extreme_rain,0,0,0.0
2023-01-08,T Nagar,platform_outage,0,0,0.0
2023-01-08,T Nagar,bandh,0,0,0.0
2023-01-08,T Nagar,heatwave,0,0,0.0
2023-01-08,Perungudi,heavy_rain,0,0,0.0
2023-01-08,Perungudi,extreme_rain,0,0,0.0
2023-01-08,Perungudi,platform_outage,0,0,0.0
2023-01-08,Perungudi,bandh,0,0,0.0
2023-01-08,Perungudi,heatwave,0,0,0.0
2023-01-09,Adyar,heavy_rain,0,0,0.0
2023-01-09,Adyar,extreme_rain,0,0,0.0
2023-01-09,Adyar,platform_outage,0,0,0.0
2023-01-09,Adyar,bandh,0,0,0.0
2023-01-09,Adyar,heatwave,0,0,0.0
2023-01-09,Velachery,heavy_rain,0,0,0.0
2023-01-09,Velachery,extreme_rain,0,0,0.0
2023-01-09,Velachery,platform_outage,0,0,0.0
2023-01-09,Velachery,bandh,0,0,0.0
2023-01-09,Velachery,heatwave,0,0,0.0
2023-01-09,Tambaram,heavy_rain,0,0,0.0
2023-01-09,Tambaram,extreme_rain,0,0,0.0
2023-01-09,Tambaram,platform_outage,0,0,0.0
2023-01-09,Tambaram,bandh,0,0,0.0
2023-01-09,Tambaram,heatwave,0,0,0.0
2023-01-09,Anna Nagar,heavy_rain,0,0,0.0
2023-01-09,Anna Nagar,extreme_rain,0,0,0.0
2023-01-09,Anna Nagar,platform_outage,0,0,0.0
2023-01-09,Anna Nagar,bandh,0,0,0.0
2023-01-09,Anna Nagar,heatwave,0,0,0.0
2023-01-09,T Nagar,heavy_rain,0,0,0.0
2023-01-09,T Nagar,extreme_rain,0,0,0.0
2023-01-09,T Nagar,platform_outage,0,0,0.0
2023-01-09,T Nagar,bandh,0,0,0.0
2023-01-09,T Nagar,heatwave,0,0,0.0
2023-01-09,Perungudi,heavy_rain,0,0,0.0
2023-01-09,Perungudi,extreme_rain,0,0,0.0
2023-01-09,Perungudi,platform_outage,0,0,0.0
2023-01-09,Perungudi,bandh,0,0,0.0
2023-01-09,Perungudi,heatwave,0,0,0.0
2023-01-10,Adyar,heavy_rain,0,0,0.0
2023-01-10,Adyar,extreme_rain,0,0,0.0
2023-01-10,Adyar,platform_outage,0,0,0.0
2023-01-10,Adyar,bandh,0,0,0.0
2023-01-10,Adyar,heatwave,0,0,0.0
2023-01-10,Velachery,heavy_rain,0,0,0.0
2023-01-10,Velachery,extreme_rain,0,0,0.0
2023-01-10,Velachery,platform_outage,0,0,0.0
2023-01-10,Velachery,bandh,0,0,0.0
2023-01-10,Velachery,heatwave,0,0,0.0
2023-01-10,Tambaram,heavy_rain,0,0,0.0
2023-01-10,Tambaram,extreme_rain,0,0,0.0
2023-01-10,Tambaram,platform_outage,0,0,0.0
2023-01-10,Tambaram,bandh,0,0,0.0
2023-01-10,Tambaram,heatwave,0,0,0.0
2023-01-10,Anna Nagar,heavy_rain,0,0,0.0
2023-01-10,Anna Nagar,extreme_rain,0,0,0.0
2023-01-10,Anna Nagar,platform_outage,0,0,0.0
2023-01-10,Anna Nagar,bandh,0,0,0.0
2023-01-10,Anna Nagar,heatwave,0,0,0.0
2023-01-10,T Nagar,heavy_rain,0,0,0.0
2023-01-10,T Nagar,extreme_rain,0,0,0.0
2023-01-10,T Nagar,platform_outage,0,0,0.0
2023-01-10,T Nagar,bandh,0,0,0.0
2023-01-10,T Nagar,heatwave,0,0,0.0
2023-01-10,Perungudi,heavy_rain,0,0,0.0
2023-01-10,Perungudi,extreme_rain,0,0,0.0
2023-01-10,Perungudi,platform_outage,0,0,0.0
2023-01-10,Perungudi,bandh,0,0,0.0
2023-01-10,Perungudi,heatwave,0,0,0.0
2023-01-11,Adyar,heavy_rain,1,9,49.160286721639494
2023-01-11,Adyar,extreme_rain,0,0,0.0
2023-01-11,Adyar,platform_outage,0,0,0.0
2023-01-11,Adyar,bandh,0,0,0.0
2023-01-11,Adyar,heatwave,0,0,0.0
2023-01-11,Velachery,heavy_rain,1,6,57.05203514053396
2023-01-11,Velachery,extreme_rain,0,0,0.0
2023-01-11,Velachery,platform_outage,0,0,0.0
2023-01-11,Velachery,bandh,0,0,0.0
2023-01-11,Velachery,heatwave,0,0,0.0
2023-01-11,Tambaram,heavy_rain,1,8,54.00154311159197
2023-01-11,Tambaram,extreme_rain,0,0,0.0
2023-01-11,Tambaram,platform_outage,0,0,0.0
2023-01-11,Tambaram,bandh,0,0,0.0
2023-01-11,Tambaram,heatwave,0,0,0.0
2023-01-11,Anna Nagar,heavy_rain,1,2,22.542334011440946
2023-01-11,Anna Nagar,extreme_rain,0,0,0.0
2023-01-11,Anna Nagar,platform_outage,0,0,0.0
2023-01-11,Anna Nagar,bandh,0,0,0.0
2023-01-11,Anna Nagar,heatwave,0,0,0.0
2023-01-11,T Nagar,heavy_rain,1,9,46.63689426469986
2023-01-11,T Nagar,extreme_rain,0,0,0.0
2023-01-11,T Nagar,platform_outage,0,0,0.0
2023-01-11,T Nagar,bandh,0,0,0.0
2023-01-11,T Nagar,heatwave,0,0,0.0
2023-01-11,Perungudi,heavy_rain,1,7,55.48850970305306
2023-01-11,Perungudi,extreme_rain,0,0,0.0
2023-01-11,Perungudi,platform_outage,0,0,0.0
2023-01-11,Perungudi,bandh,0,0,0.0
2023-01-11,Perungudi,heatwave,0,0,0.0
2023-01-12,Adyar,heavy_rain,0,0,0.0
2023-01-12,Adyar,extreme_rain,0,0,0.0
2023-01-12,Adyar,platform_outage,0,0,0.0
2023-01-12,Adyar,bandh,0,0,0.0
2023-01-12,Adyar,heatwave,0,0,0.0
2023-01-12,Velachery,heavy_rain,0,0,0.0
2023-01-12,Velachery,extreme_rain,0,0,0.0
2023-01-12,Velachery,platform_outage,0,0,0.0
2023-01-12,Velachery,bandh,0,0,0.0
2023-01-12,Velachery,heatwave,0,0,0.0
2023-01-12,Tambaram,heavy_rain,0,0,0.0
2023-01-12,Tambaram,extreme_rain,0,0,0.0
2023-01-12,Tambaram,platform_outage,0,0,0.0
2023-01-12,Tambaram,bandh,0,0,0.0
2023-01-12,Tambaram,heatwave,0,0,0.0
2023-01-12,Anna Nagar,heavy_rain,0,0,0.0
2023-01-12,Anna Nagar,extreme_rain,0,0,0.0
2023-01-12,Anna Nagar,platform_outage,0,0,0.0
2023-01-12,Anna Nagar,bandh,0,0,0.0
2023-01-12,Anna Nagar,heatwave,0,0,0.0
2023-01-12,T Nagar,heavy_rain,0,0,0.0
2023-01-12,T Nagar,extreme_rain,0,0,0.0
2023-01-12,T Nagar,platform_outage,0,0,0.0
2023-01-12,T Nagar,bandh,0,0,0.0
2023-01-12,T Nagar,heatwave,0,0,0.0
2023-01-12,Perungudi,heavy_rain,0,0,0.0
2023-01-12,Perungudi,extreme_rain,0,0,0.0
2023-01-12,Perungudi,platform_outage,0,0,0.0
2023-01-12,Perungudi,bandh,0,0,0.0
2023-01-12,Perungudi,heatwave,0,0,0.0
2023-01-13,Adyar,heavy_rain,0,0,0.0
2023-01-13,Adyar,extreme_rain,0,0,0.0
2023-01-13,Adyar,platform_outage,0,0,0.0
2023-01-13,Adyar,bandh,0,0,0.0
2023-01-13,Adyar,heatwave,0,0,0.0
2023-01-13,Velachery,heavy_rain,0,0,0.0
2023-01-13,Velachery,extreme_rain,0,0,0.0
2023-01-13,Velachery,platform_outage,0,0,0.0
2023-01-13,Velachery,bandh,0,0,0.0
2023-01-13,Velachery,heatwave,0,0,0.0
2023-01-13,Tambaram,heavy_rain,0,0,0.0
2023-01-13,Tambaram,extreme_rain,0,0,0.0
2023-01-13,Tambaram,platform_outage,0,0,0.0
2023-01-13,Tambaram,bandh,0,0,0.0
2023-01-13,Tambaram,heatwave,0,0,0.0
2023-01-13,Anna Nagar,heavy_rain,0,0,0.0
2023-01-13,Anna Nagar,extreme_rain,0,0,0.0
2023-01-13,Anna Nagar,platform_outage,0,0,0.0
2023-01-13,Anna Nagar,bandh,0,0,0.0
2023-01-13,Anna Nagar,heatwave,0,0,0.0
2023-01-13,T Nagar,heavy_rain,0,0,0.0
2023-01-13,T Nagar,extreme_rain,0,0,0.0
2023-01-13,T Nagar,platform_outage,0,0,0.0
2023-01-13,T Nagar,bandh,0,0,0.0
2023-01-13,T Nagar,heatwave,0,0,0.0
2023-01-13,Perungudi,heavy_rain,0,0,0.0
2023-01-13,Perungudi,extreme_rain,0,0,0.0
2023-01-13,Perungudi,platform_outage,0,0,0.0
2023-01-13,Perungudi,bandh,0,0,0.0
2023-01-13,Perungudi,heatwave,0,0,0.0
2023-01-14,Adyar,heavy_rain,0,0,0.0
2023-01-14,Adyar,extreme_rain,0,0,0.0
2023-01-14,Adyar,platform_outage,0,0,0.0
2023-01-14,Adyar,bandh,0,0,0.0
2023-01-14,Adyar,heatwave,0,0,0.0
2023-01-14,Velachery,heavy_rain,1,12,28.122448989390776
2023-01-14,Velachery,extreme_rain,0,0,0.0
2023-01-14,Velachery,platform_outage,0,0,0.0
2023-01-14,Velachery,bandh,0,0,0.0
2023-01-14,Velachery,heatwave,0,0,0.0
2023-01-14,Tambaram,heavy_rain,0,0,0.0
2023-01-14,Tambaram,extreme_rain,0,0,0.0
2023-01-14,Tambaram,platform_outage,0,0,0.0
2023-01-14,Tambaram,bandh,0,0,0.0
2023-01-14,Tambaram,heatwave,0,0,0.0
2023-01-14,Anna Nagar,heavy_rain,1,4,26.448851490160177
2023-01-14,Anna Nagar,extreme_rain,0,0,0.0
2023-01-14,Anna Nagar,platform_outage,0,0,0.0
2023-01-14,Anna Nagar,bandh,0,0,0.0
2023-01-14,Anna Nagar,heatwave,0,0,0.0
2023-01-14,T Nagar,heavy_rain,0,0,0.0
2023-01-14,T Nagar,extreme_rain,0,0,0.0
2023-01-14,T Nagar,platform_outage,0,0,0.0
2023-01-14,T Nagar,bandh,0,0,0.0
2023-01-14,T Nagar,heatwave,0,0,0.0
2023-01-14,Perungudi,heavy_rain,1,10,24.219770393210823
2023-01-14,Perungudi,extreme_rain,0,0,0.0
2023-01-14,Perungudi,platform_outage,0,0,0.0
2023-01-14,Perungudi,bandh,0,0,0.0
2023-01-14,Perungudi,heatwave,0,0,0.0
2023-01-15,Adyar,heavy_rain,0,0,0.0
2023-01-15,Adyar,extreme_rain,0,0,0.0
2023-01-15,Adyar,platform_outage,0,0,0.0
2023-01-15,Adyar,bandh,0,0,0.0
2023-01-15,Adyar,heatwave,0,0,0.0
2023-01-15,Velachery,heavy_rain,0,0,0.0
2023-01-15,Velachery,extreme_rain,0,0,0.0
2023-01-15,Velachery,platform_outage,0,0,0.0
2023-01-15,Velachery,bandh,0,0,0.0
2023-01-15,Velachery,heatwave,0,0,0.0
2023-01-15,Tambaram,heavy_rain,0,0,0.0
2023-01-15,Tambaram,extreme_rain,0,0,0.0
2023-01-15,Tambaram,platform_outage,0,0,0.0
2023-01-15,Tambaram,bandh,0,0,0.0
2023-01-15,Tambaram,heatwave,0,0,0.0
2023-01-15,Anna Nagar,heavy_rain,0,0,0.0
2023-01-15,Anna Nagar,extreme_rain,0,0,0.0
2023-01-15,Anna Nagar,platform_outage,0,0,0.0
2023-01-15,Anna Nagar,bandh,0,0,0.0
2023-01-15,Anna Nagar,heatwave,0,0,0.0
2023-01-15,T Nagar,heavy_rain,0,0,0.0
2023-01-15,T Nagar,extreme_rain,0,0,0.0
2023-01-15,T Nagar,platform_outage,0,0,0.0
2023-01-15,T Nagar,bandh,0,0,0.0
2023-01-15,T Nagar,heatwave,0,0,0.0
2023-01-15,Perungudi,heavy_rain,0,0,0.0
2023-01-15,Perungudi,extreme_rain,0,0,0.0
2023-01-15,Perungudi,platform_outage,0,0,0.0
2023-01-15,Perungudi,bandh,0,0,0.0
2023-01-15,Perungudi,heatwave,0,0,0.0
2023-01-16,Adyar,heavy_rain,0,0,0.0
2023-01-16,Adyar,extreme_rain,0,0,0.0
2023-01-16,Adyar,platform_outage,0,0,0.0
2023-01-16,Adyar,bandh,0,0,0.0
2023-01-16,Adyar,heatwave,0,0,0.0
2023-01-16,Velachery,heavy_rain,0,0,0.0
2023-01-16,Velachery,extreme_rain,0,0,0.0
2023-01-16,Velachery,platform_outage,0,0,0.0
2023-01-16,Velachery,bandh,0,0,0.0
2023-01-16,Velachery,heatwave,0,0,0.0
2023-01-16,Tambaram,heavy_rain,0,0,0.0
2023-01-16,Tambaram,extreme_rain,0,0,0.0
2023-01-16,Tambaram,platform_outage,0,0,0.0
2023-01-16,Tambaram,bandh,0,0,0.0
2023-01-16,Tambaram,heatwave,0,0,0.0
2023-01-16,Anna Nagar,heavy_rain,0,0,0.0
2023-01-16,Anna Nagar,extreme_rain,0,0,0.0
2023-01-16,Anna Nagar,platform_outage,0,0,0.0
2023-01-16,Anna Nagar,bandh,0,0,0.0
2023-01-16,Anna Nagar,heatwave,0,0,0.0
2023-01-16,T Nagar,heavy_rain,0,0,0.0
2023-01-16,T Nagar,extreme_rain,0,0,0.0
2023-01-16,T Nagar,platform_outage,0,0,0.0
2023-01-16,T Nagar,bandh,0,0,0.0
2023-01-16,T Nagar,heatwave,0,0,0.0
2023-01-16,Perungudi,heavy_rain,0,0,0.0
2023-01-16,Perungudi,extreme_rain,0,0,0.0
2023-01-16,Perungudi,platform_outage,0,0,0.0
2023-01-16,Perungudi,bandh,0,0,0.0
2023-01-16,Perungudi,heatwave,0,0,0.0
2023-01-17,Adyar,heavy_rain,1,2,24.794614693347313
2023-01-17,Adyar,extreme_rain,0,0,0.0
2023-01-17,Adyar,platform_outage,0,0,0.0
2023-01-17,Adyar,bandh,0,0,0.0
2023-01-17,Adyar,heatwave,0,0,0.0
2023-01-17,Velachery,heavy_rain,1,12,32.92811728083021
2023-01-17,Velachery,extreme_rain,0,0,0.0
2023-01-17,Velachery,platform_outage,0,0,0.0
2023-01-17,Velachery,bandh,0,0,0.0
2023-01-17,Velachery,heatwave,0,0,0.0
2023-01-17,Tambaram,heavy_rain,1,10,36.15344684232163
2023-01-17,Tambaram,extreme_rain,0,0,0.0
2023-01-17,Tambaram,platform_outage,0,0,0.0
2023-01-17,Tambaram,bandh,0,0,0.0
2023-01-17,Tambaram,heatwave,0,0,0.0
2023-01-17,Anna Nagar,heavy_rain,1,11,58.497891797684446
2023-01-17,Anna Nagar,extreme_rain,0,0,0.0
2023-01-17,Anna Nagar,platform_outage,0,0,0.0
2023-01-17,Anna Nagar,bandh,0,0,0.0
2023-01-17,Anna Nagar,heatwave,0,0,0.0
2023-01-17,T Nagar,heavy_rain,1,3,48.49082359697768
2023-01-17,T Nagar,extreme_rain,0,0,0.0
2023-01-17,T Nagar,platform_outage,0,0,0.0
2023-01-17,T Nagar,bandh,0,0,0.0
2023-01-17,T Nagar,heatwave,0,0,0.0
2023-01-17,Perungudi,heavy_rain,1,9,21.47547789418131
2023-01-17,Perungudi,extreme_rain,0,0,0.0
2023-01-17,Perungudi,platform_outage,0,0,0.0
2023-01-17,Perungudi,bandh,0,0,0.0
2023-01-17,Perungudi,heatwave,0,0,0.0
2023-01-18,Adyar,heavy_rain,0,0,0.0
2023-01-18,Adyar,extreme_rain,0,0,0.0
2023-01-18,Adyar,platform_outage,0,0,0.0
2023-01-18,Adyar,bandh,0,0,0.0
2023-01-18,Adyar,heatwave,0,0,0.0
2023-01-18,Velachery,heavy_rain,0,0,0.0
2023-01-18,Velachery,extreme_rain,0,0,0.0
